,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,id,region,total_servings,prop_wine,prop_beer,prop_spirits,rank_wine,rank_beer,rank_spirit,relative_rank_wine,relative_rank_beer,relative_rank_spirit
0,Afghanistan,0,0,0,0.0,4,Asia,0,,,,,,,,,
1,Albania,89,132,54,4.9,8,Europe,275,0.19636363636363635,0.3236363636363636,0.48,57.0,137.0,55.0,29.0,32.0,7.0
2,Algeria,25,0,14,0.7,12,Africa,39,0.358974358974359,0.6410256410256411,0.0,27.0,55.5,175.5,4.0,33.5,47.5
3,Andorra,245,138,312,12.4,20,Europe,695,0.4489208633093525,0.35251798561151076,0.1985611510791367,17.0,129.0,114.0,10.0,29.0,25.0
4,Angola,217,57,45,5.9,24,Africa,319,0.14106583072100312,0.6802507836990596,0.1786833855799373,72.0,47.0,121.0,20.0,27.0,21.0
5,Antigua & Barbuda,102,128,45,4.9,28,Americas,275,0.16363636363636364,0.3709090909090909,0.46545454545454545,64.0,126.0,57.0,7.0,26.0,17.0
6,Argentina,193,25,221,8.3,32,Americas,439,0.5034168564920274,0.4396355353075171,0.05694760820045558,9.0,102.0,161.0,2.0,17.0,35.0
7,Armenia,21,179,11,3.8,51,Asia,211,0.052132701421800945,0.0995260663507109,0.8483412322274881,109.0,174.0,8.0,17.0,36.0,6.0
8,Australia,261,72,212,10.4,36,Oceania,545,0.3889908256880734,0.47889908256880737,0.13211009174311927,23.0,89.0,142.0,1.0,8.0,13.0
9,Austria,279,75,191,9.7,40,Europe,545,0.3504587155963303,0.5119266055045871,0.13761467889908258,30.0,82.0,141.0,17.0,10.0,36.0
10,Azerbaijan,21,46,5,1.3,31,Asia,72,0.06944444444444445,0.2916666666666667,0.6388888888888888,99.0,145.0,28.0,11.0,20.0,17.0
11,Bahamas,122,176,51,6.3,44,Americas,349,0.14613180515759314,0.3495702005730659,0.504297994269341,69.0,131.0,50.0,8.0,27.0,14.0
12,Bahrain,42,63,7,2.0,48,Asia,112,0.0625,0.375,0.5625,102.0,124.5,40.0,13.0,17.0,20.0
13,Bangladesh,0,0,0,0.0,50,Asia,0,,,,,,,,,
14,Barbados,143,173,36,6.3,52,Americas,352,0.10227272727272728,0.40625,0.4914772727272727,85.0,112.0,51.0,10.0,23.0,15.0
15,Belarus,142,373,42,14.4,112,Europe,557,0.07540394973070018,0.25493716337522443,0.6696588868940754,93.0,153.0,24.0,38.0,37.0,2.0
16,Belgium,295,84,212,10.5,56,Europe,591,0.3587140439932318,0.49915397631133673,0.14213197969543148,28.0,87.0,138.0,16.0,13.0,34.0
17,Belize,263,114,8,6.8,84,Americas,385,0.02077922077922078,0.6831168831168831,0.2961038961038961,140.0,45.0,86.0,24.0,5.0,26.0
18,Benin,34,4,13,1.1,204,Africa,51,0.2549019607843137,0.6666666666666666,0.0784313725490196,43.0,53.0,156.0,9.0,31.0,33.0
19,Bhutan,23,0,0,0.4,64,Asia,23,0.0,1.0,0.0,171.5,2.5,175.5,35.0,1.5,39.0
